"REGION","employee_type","Industry_type","monthlyORhourly","skill_type","gender","Age","yrs_of_Exp","tax_grade","no_of_child","job","rank","education","employment_type","salary_type","weekly_work_hour","yearly_income","paid_holiday_days","number_of_employee","male_percent","female_percent"
1,1,6,1,3,2,30,1,NA,0,19,1,7,1,NA,39,1,20,4,46.3,53.7
2,2,5,NA,NA,2,19,3,1,0,20,0,1,4,NA,40,4042,22,2,16,84
2,2,5,NA,6,1,51,11,3,0,14,4,2,1,NA,40,40515,30,2,76,24
2,1,9,1,2,2,49,4,NA,0,19,9,2,1,NA,30,1,28,2,19.1,80.9
1,2,7,NA,8,1,43,1,NA,0,13,4,2,1,NA,40,1,30,4,59.3,40.7
1,2,2,NA,6,1,33,4,3,2,7,3,6,1,NA,40,36634,25,3,75.3,24.7
1,1,2,2,3,1,39,1,1,0,2,9,1,2,1,33,1,24,2,74.2,25.8
2,1,2,2,2,1,55,3,1,0,10,2,2,1,3,40,22768,27,3,90.1,9.9
1,2,2,NA,7,2,24,5,1,0,9,4,5,1,NA,37,35119,30,6,59.7,40.3
1,2,9,NA,9,1,25,4,NA,0,8,4,5,1,NA,39,16050,30,2,73.1,26.9
1,2,9,NA,6,2,34,9,NA,0,14,4,2,1,NA,37.75,30984,30,2,30.3,69.7
1,2,8,NA,8,1,57,28,1,0,15,9,7,3,NA,19,19932,30,4,42.9,57.1
1,2,5,NA,7,1,53,40,1,0,14,4,2,1,NA,40,34957,30,2,95.7,4.3
1,2,2,NA,7,1,44,22,3,1,8,3,2,1,NA,38,51513,30,6,98.2,1.8
1,2,2,NA,7,1,38,2,3,2,8,4,2,1,NA,37.5,38404,30,3,59.7,40.3
1,2,5,NA,7,1,48,5,1,0,14,4,2,1,NA,36,29269,30,2,88.8,11.2
1,2,2,NA,6,1,42,7,3,2,7,4,5,1,NA,40,30953,30,2,57.7,42.3
1,2,5,NA,6,1,34,3,1,0,10,4,2,1,NA,40,28726,30,2,74.3,25.7
1,2,2,NA,7,2,43,13,2,2,13,4,6,1,NA,30,32524,25,3,58.1,41.9
2,2,2,NA,6,1,42,4,4,1,9,4,5,1,NA,38,39599,30,4,75.2,24.8
1,2,2,NA,8,1,26,3,1,0,8,4,5,1,NA,40,28406,30,2,80,20
1,2,2,NA,9,2,55,4,3,0,14,9,1,1,NA,20,8218,30,4,76.9,23.1
1,2,3,NA,7,1,28,3,1,0,8,4,5,2,NA,38,36835,30,6,71.8,28.2
1,1,7,1,2,1,25,2,NA,0,11,1,7,1,NA,40,21300,25,2,76.7,23.3
1,2,2,NA,8,2,35,6,1,0,8,4,2,1,NA,37.5,29557,30,3,47.3,52.7
1,2,5,NA,6,2,30,3,1,0,14,4,2,1,NA,40,19557,28,3,75.3,24.7
2,1,4,1,NA,1,19,3,1,0,20,0,1,4,1,40,4882,26,56,61.9,38.1
2,1,3,1,1,1,56,11,3,0,19,2,2,1,1,40,29301,30,3,83.1,16.9
2,1,2,2,2,2,59,4,4,0,20,9,2,1,1,30,11197,26,2,71.4,28.6
2,2,9,NA,7,1,48,8,NA,0,14,4,2,1,NA,38.5,26243,30,4,24.2,75.8
